Row #,Time,Latitude,Longitude,Altitude,Number of Satellites,Start time,Distance,Azimuth,Elevation angle,Pressure,Temperature,Humidity,Battery voltage,T_int,T_pr,T_u,Length of XDATA packet,XDATA#,12#,23#,34#,45#,123#,234#,345#,1234#,2345#,12345#
12,'2016-01-24T14:45:49+08:00',25.014564514160156,121.53910827636719,35,8,6:46:38,0.05097134540944861,128.8919295015889,26.126641482933174,1032.74,4.6,70.92,5.0,30.47,32.27,4.6,50,2913,0,0,0,0,0,0,0,0,0,0
13,'2016-01-24T14:45:50+08:00',25.01456642150879,121.53910827636719,35,8,6:46:39,0.05083830527317613,128.7056801582127,26.18589157728211,1032.76,4.84,71.15,5.0,30.47,32.26,4.84,50,2914,0,1,0,0,0,0,0,0,0,0
14,'2016-01-24T14:45:50+08:00',25.014564514160156,121.53910827636719,35,8,6:46:40,0.05097134540944861,128.8919295015889,26.126641482933174,1032.79,4.78,70.7,5.0,30.45,32.26,4.78,50,2915,0,0,0,0,0,0,0,0,0,0
15,'2016-01-24T14:45:50+08:00',25.014564514160156,121.53910827636719,34,8,6:46:42,0.05097134540944861,128.8919295015889,25.21353189950839,1032.73,4.89,70.87,5.0,30.44,32.27,4.89,50,2916,0,1,0,0,0,0,0,0,0,0
16,'2016-01-24T14:45:51+08:00',25.014564514160156,121.53910827636719,34,8,6:46:43,0.05097134540944861,128.8919295015889,25.21353189950839,1032.74,4.92,70.83,5.0,30.46,32.27,4.92,50,2917,1,0,1,0,0,0,0,1,0,1
17,'2016-01-24T14:45:51+08:00',25.014564514160156,121.53910827636719,34,8,6:46:43,0.05097134540944861,128.8919295015889,25.21353189950839,1032.75,4.86,71.27,5.0,30.46,32.27,4.86,50,2918,0,0,0,0,0,0,0,0,0,0
18,'2016-01-24T14:45:52+08:00',25.01456642150879,121.53910827636719,34,8,6:46:44,0.05083830527317613,128.7056801582127,25.271291960555644,1032.74,4.81,71.92,5.0,30.47,32.27,4.81,50,2919,0,0,0,0,0,0,0,0,0,0
19,'2016-01-24T14:45:52+08:00',25.014568328857422,121.53910827636719,35,8,6:46:45,0.05070580515212231,128.51845544620465,26.245149895378525,1032.69,4.8,72.07,5.0,30.47,32.26,4.8,50,2920,0,0,0,0,0,0,0,0,0,0
20,'2016-01-24T14:45:53+08:00',25.014568328857422,121.53910827636719,35,8,6:46:46,0.05070580515212231,128.51845544620465,26.245149895378525,1032.74,4.7,71.52,5.0,30.45,32.26,4.7,50,2921,0,0,0,0,0,0,0,0,0,0
21,'2016-01-24T14:45:53+08:00',25.014568328857422,121.53910827636719,35,8,6:46:47,0.05070580515212231,128.51845544620465,26.245149895378525,1032.82,4.76,71.95,5.0,30.47,32.26,4.76,50,2922,0,0,1,0,0,0,1,0,0,0
22,'2016-01-24T14:45:54+08:00',25.01456642150879,121.53910827636719,35,8,6:46:48,0.05083830527317613,128.7056801582127,26.18589157728211,1032.77,4.61,71.82,5.0,30.44,32.26,4.61,50,2923,1,0,0,0,0,0,0,0,0,0
23,'2016-01-24T14:45:54+08:00',25.014564514160156,121.53910827636719,35,8,6:46:49,0.05097134540944861,128.8919295015889,26.126641482933174,1032.74,4.66,71.51,5.0,30.45,32.26,4.66,50,2924,1,0,0,0,0,0,0,0,0,0
24,'2016-01-24T14:45:55+08:00',25.014562606811523,121.53910827636719,35,8,6:46:50,0.05110492134263255,129.07720717188514,26.06740306807713,1032.77,4.98,71.44,5.0,30.44,32.25,4.98,50,2925,0,0,1,0,0,1,0,0,1,0
25,'2016-01-24T14:45:55+08:00',25.014562606811523,121.53910827636719,35,8,6:46:52,0.05110492134263255,129.07720717188514,26.06740306807713,1032.8,5.17,72.15,5.0,30.42,32.25,5.17,50,2926,0,0,0,0,0,0,0,0,0,0
26,'2016-01-24T14:45:56+08:00',25.01456069946289,121.53910827636719,35,8,6:46:53,0.051239028883056106,129.26151690971435,26.0081797314033,1032.83,5.06,72.19,5.0,30.45,32.24,5.06,50,2927,0,1,0,0,0,0,0,0,0,0
27,'2016-01-24T14:45:56+08:00',25.01456069946289,121.53910827636719,35,9,6:46:53,0.051239028883056106,129.26151690971435,26.0081797314033,1032.77,4.77,70.79,5.0,30.43,32.24,4.77,50,2928,0,0,1,1,0,0,0,0,0,0
28,'2016-01-24T14:45:57+08:00',25.01456069946289,121.53910827636719,35,9,6:46:54,0.051239028883056106,129.26151690971435,26.0081797314033,1032.76,4.65,70.22,5.0,30.44,32.24,4.65,50,2929,0,1,0,0,0,0,0,0,0,0
29,'2016-01-24T14:45:57+08:00',25.01456069946289,121.53910827636719,35,9,6:46:55,0.051239028883056106,129.26151690971435,26.0081797314033,1032.76,4.64,70.49,5.0,30.43,32.23,4.64,50,2930,0,0,0,0,0,0,0,0,0,0
30,'2016-01-24T14:45:58+08:00',25.014558792114258,121.53910827636719,34,9,6:46:56,0.0513736638670977,129.44486249489174,25.04035574444737,1032.78,4.66,70.87,5.0,30.42,32.22,4.66,50,2931,0,0,0,0,0,0,0,0,0,0
31,'2016-01-24T14:45:58+08:00',25.01456069946289,121.53910827636719,34,9,6:46:57,0.051239028883056106,129.26151690971435,25.098060514999656,1032.75,4.74,71.65,5.0,30.39,32.22,4.74,50,2932,0,0,0,0,1,0,0,0,0,0
32,'2016-01-24T14:45:58+08:00',25.014558792114258,121.53910827636719,34,9,6:46:58,0.0513736638670977,129.44486249489174,25.04035574444737,1032.72,4.82,72.11,5.0,30.41,32.21,4.82,50,2933,0,0,1,0,0,0,0,0,0,0
33,'2016-01-24T14:45:59+08:00',25.014558792114258,121.53910827636719,34,9,6:46:59,0.0513736638670977,129.44486249489174,25.04035574444737,1032.72,4.79,73.26,5.0,30.41,32.21,4.79,50,2934,0,1,0,0,0,0,0,0,0,0
34,'2016-01-24T14:45:59+08:00',25.014558792114258,121.53910827636719,33,9,6:47:0,0.0513736638670977,129.44486249489174,24.11807237444931,1032.65,4.9,73.43,5.0,30.4,32.22,4.9,50,2935,0,0,0,0,0,0,0,0,0,0
35,'2016-01-24T14:46:00+08:00',25.014556884765625,121.53910827636719,32,9,6:47:2,0.05150882215949651,129.62724774870725,23.127875566528306,1032.72,4.88,73.75,5.0,30.42,32.22,4.88,50,2936,0,1,1,0,0,0,1,0,0,0
36,'2016-01-24T14:46:00+08:00',25.014556884765625,121.53910827636719,31,9,6:47:3,0.05150882215949651,129.62724774870725,22.180582208539143,1032.7,4.88,74.06,5.0,30.41,32.21,4.88,50,2937,0,0,0,0,0,1,0,0,1,0
37,'2016-01-24T14:46:00+08:00',25.014556884765625,121.53910827636719,31,9,6:47:3,0.05150882215949651,129.62724774870725,22.180582208539143,1032.72,4.89,74.05,5.0,30.41,32.2,4.89,50,2938,0,0,0,0,0,0,0,0,0,0
38,'2016-01-24T14:46:01+08:00',25.014556884765625,121.53912353515625,30,9,6:47:4,0.05270351986975706,128.55991305625597,20.78081697069179,1032.79,4.96,74.21,5.0,30.4,32.2,4.96,50,2939,0,0,0,0,0,0,0,0,0,0
39,'2016-01-24T14:46:01+08:00',25.014556884765625,121.53912353515625,30,9,6:47:5,0.05270351986975706,128.55991305625597,20.78081697069179,1032.86,4.88,74.14,5.0,30.39,32.2,4.88,50,2940,0,0,0,0,0,0,0,0,0,0
40,'2016-01-24T14:46:01+08:00',25.014556884765625,121.53912353515625,29,9,6:47:6,0.05270351986975706,128.55991305625597,19.82460004706878,1032.8,4.8,72.46,5.0,30.38,32.2,4.8,50,2941,0,0,0,0,0,0,0,0,0,0
41,'2016-01-24T14:46:01+08:00',25.014556884765625,121.53912353515625,30,9,6:47:7,0.05270351986975706,128.55991305625597,20.78081697069179,1032.73,4.75,70.67,5.0,30.4,32.19,4.75,50,2942,0,0,0,0,0,0,0,0,0,0
42,'2016-01-24T14:46:02+08:00',25.014556884765625,121.53912353515625,30,9,6:47:8,0.05270351986975706,128.55991305625597,20.78081697069179,1032.7,4.75,70.5,5.0,30.41,32.19,4.75,50,2943,0,0,0,0,0,0,0,0,0,0
43,'2016-01-24T14:46:02+08:00',25.014558792114258,121.53912353515625,30,9,6:47:9,0.05257143315146374,128.37896496025724,20.828554131313165,1032.75,4.74,71.27,5.0,30.37,32.2,4.74,50,2944,0,1,0,0,0,0,0,1,1,1
44,'2016-01-24T14:46:03+08:00',25.01456069946289,121.53912353515625,30,9,6:47:10,0.05243987341149845,128.19710712812716,20.876309594250195,1032.8,4.75,71.53,5.0,30.37,32.19,4.75,50,2945,0,0,0,0,0,0,0,0,0,0
45,'2016-01-24T14:46:03+08:00',25.014558792114258,121.53912353515625,30,9,6:47:12,0.05257143315146374,128.37896496025724,20.828554131313165,1032.77,4.73,71.5,5.0,30.37,32.19,4.73,50,2946,0,0,0,0,0,0,0,0,0,0
